name,lat,lon,base_type,top_category,sub_category,raw_tags
I'PARK 공원,37.6601938,127.045378,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""I'PARK 공원"", ""name:en"": ""I'PARK Apartment Park""}"
갈대밭 어린이공원,37.6743459,127.0458147,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""갈대밭 어린이공원""}"
개나리어린이공원,37.6673447,127.0371253,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""개나리어린이공원""}"
금성윗들 소공원,37.6676648,127.0447755,공원/정원,느좋,근린공원/정원,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:postcode"": ""01332"", ""addr:street"": ""도봉로150마길"", ""leisure"": ""park"", ""name"": ""금성윗들 소공원""}"
꽃동네놀이터,37.6506183,127.0229236,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""꽃동네놀이터""}"
꿈동산어린이공원,37.6502196,127.0368189,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""꿈동산어린이공원""}"
노해어린이공원,37.6609064,127.0397143,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""노해어린이공원""}"
다락원 체육공원,37.6921713,127.0476263,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""다락원 체육공원"", ""name:ko"": ""다락원 체육공원""}"
다람쥐어린이공원,37.6452033,127.0349319,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""다람쥐어린이공원""}"
달내어린이공원,37.6427422,127.0352605,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""달내어린이공원""}"
둥근달 공원,37.6496724,127.030172,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""둥근달 공원""}"
뒷마을어린이공원,37.6637434,127.0336224,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""뒷마을어린이공원""}"
미화어린이공원,37.6550059,127.0396918,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""미화어린이공원""}"
발바닥공원,37.6594342,127.0304218,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""발바닥공원""}"
북한산 아이파크 공원,37.6578849,127.0437438,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""북한산 아이파크 공원""}"
사슴어린이공원,37.6644421,127.0417568,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""사슴어린이공원""}"
서울창포원,37.6895014,127.0477619,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""서울창포원"", ""name:en"": ""Seoul Iris Garden (Seoul Botanical Garden)"", ""name:ja"": ""ソウル菖蒲園"", ""name:ko"": ""서울창포원""}"
소망어린이공원,37.6635285,127.0369633,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""소망어린이공원""}"
월천근린공원,37.6475652,127.0508697,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""월천근린공원""}"
창2동마을공원,37.6412078,127.0362834,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""창2동마을공원""}"
창고개어린이공원,37.6447278,127.0393326,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""창고개어린이공원""}"
창골 어린이 공원,37.6431385,127.048262,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""창골 어린이 공원""}"
초안산 숲속 공원,37.6447704,127.0493514,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""초안산 숲속 공원""}"
초안산근린공원,37.6453121,127.0448273,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""초안산근린공원""}"
초안산근린공원,37.6481941,127.0412233,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""초안산근린공원""}"
초안산근린공원,37.6480397,127.0455664,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""초안산근린공원""}"
평화도봉공원,37.6623394,127.0430894,공원/정원,느좋,근린공원/정원,"{""leisure"": ""park"", ""name"": ""평화도봉공원""}"
