name,lat,lon,base_type,top_category,sub_category,raw_tags,osm_type,osm_id
스시혼,37.6462068,127.034021,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""capacity"": ""ABOUT 40"", ""cuisine"": ""sushi"", ""name"": ""스시혼"", ""opening_hours"": ""Tue-Sun day. they have a break time.""}",node,5139100541
영즉석떡볶이,37.6459245,127.0316581,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""name"": ""영즉석떡볶이""}",node,8114227517
대운떡볶이,37.6444523,127.0304133,식당,숨은핫플,개성있는 식당,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:housenumber"": ""37"", ""addr:street"": ""도봉로97길"", ""addr:subdistrict"": ""쌍문동"", ""amenity"": ""restaurant"", ""name"": ""대운떡볶이""}",node,12074457895
신고서점,37.6516546,127.0141496,서점,숨은핫플,독립/테마서점,"{""name"": ""신고서점"", ""shop"": ""books""}",node,10248733662
영자네곱창,37.6473581,127.0329793,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""name"": ""영자네곱창""}",node,8114246517
구룡포물회,37.6493895,127.0344304,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""name"": ""구룡포물회""}",node,8114268118
춘천닭갈비,37.6485884,127.0337289,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""name"": ""춘천닭갈비""}",node,8114273617
두리두리김밥,37.6494318,127.0343282,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""name"": ""두리두리김밥""}",node,8114287317
별난주점,37.6493268,127.0345673,바/펍,숨은핫플,특색있는 바/펍,"{""amenity"": ""pub"", ""name"": ""별난주점""}",node,8114287318
치킨마루,37.6601999,127.0277781,식당,숨은핫플,개성있는 식당,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:street"": ""방학로 (Banghang-ro)"", ""addr:subdistrict"": ""방학동"", ""amenity"": ""restaurant"", ""cuisine"": ""chicken"", ""name"": ""치킨마루"", ""outdoor_seating"": ""no"", ""smoking"": ""no"", ""takeaway"": ""yes""}",node,4642367627
