name,lat,lon,base_type,top_category,sub_category,raw_tags,grid_id,final_score,percentile,band_label
덕성여자대학교 도서관,37.650993,127.016839,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""덕성여자대학교 도서관"", ""name:en"": ""Deokseong Womans University Library"", ""name:ko"": ""덕성여자대학교 도서관"", ""name:ko-Latn"": ""Deokseongyeojadaehakgyo Doseogwan"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}",73,32262.074021897555,7.4,20% 이내
천수함방삼계탕,37.660308,127.0238985,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""cuisine"": ""regional"", ""name"": ""천수함방삼계탕""}",170,33695.80433803439,8.6,20% 이내
치킨마루,37.6601999,127.0277781,식당,숨은핫플,개성있는 식당,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:street"": ""방학로 (Banghang-ro)"", ""addr:subdistrict"": ""방학동"", ""amenity"": ""restaurant"", ""cuisine"": ""chicken"", ""name"": ""치킨마루"", ""outdoor_seating"": ""no"", ""smoking"": ""no"", ""takeaway"": ""yes""}",202,43077.49449558871,11.1,20% 이내
치킨매니아,37.6604397,127.0242893,식당,숨은핫플,개성있는 식당,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:housenumber"": ""25"", ""addr:postcode"": ""01362"", ""addr:street"": ""방학로15길"", ""addr:subdistrict"": ""방학동"", ""amenity"": ""restaurant"", ""cuisine"": ""chicken"", ""delivery"": ""yes"", ""name"": ""치킨매니아"", ""opening_hours"": ""15:00-02:00"", ""takeaway"": ""yes""}",170,33695.80433803439,8.6,20% 이내
한국SGI도봉문화회관,37.662122,127.03424,문화공간,숨은핫플,갤러리/문화공간,"{""amenity"": ""arts_centre"", ""name"": ""한국SGI도봉문화회관"", ""name:en"": ""Korea SGI Dobong Cultural Center"", ""name:ko"": ""한국SGI도봉문화회관"", ""name:ko-Latn"": ""Hanguk SGI Dobongmunhwahoegwan"", ""ncat"": ""예술회관"", ""source"": ""http://kr.open.gugi.yahoo.com""}",302,67032.0058366345,16.7,20% 이내
신고서점,37.6516546,127.0141496,서점,숨은핫플,독립/테마서점,"{""name"": ""신고서점"", ""shop"": ""books""}",23,17544.497258236628,2.5,20% 이내
도당로2길,37.6588135,127.0385914,산책로/둘레길,느좋,둘레길/숲길,"{""highway"": ""footway"", ""name"": ""도당로2길"", ""name:en"": ""Dodang-ro 2-gil"", ""name:ko"": ""도당로2길"", ""surface"": ""paved""}",366,134480.13796486813,46.9,50% 이내
도봉로,37.6779409,127.0451871,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}",486,127984.51902776473,41.4,50% 이내
도봉로,37.6660791,127.0432225,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""yes"", ""crossing"": ""uncontrolled"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}",443,127795.23704269821,40.7,50% 이내
도봉로139길,37.6597482,127.0376366,산책로/둘레길,느좋,둘레길/숲길,"{""highway"": ""footway"", ""name"": ""도봉로139길"", ""name:en"": ""Dobong-ro 139-gil"", ""name:ko"": ""도봉로139길"", ""surface"": ""paved""}",367,111000.99813602319,28.4,50% 이내
도봉로139길,37.6602135,127.0376434,산책로/둘레길,느좋,둘레길/숲길,"{""highway"": ""footway"", ""name"": ""도봉로139길"", ""name:en"": ""Dobong-ro 139-gil"", ""name:ko"": ""도봉로139길"", ""surface"": ""paved""}",367,111000.99813602319,28.4,50% 이내
