name,lat,lon,base_type,top_category,sub_category,raw_tags,osm_type,osm_id
덕성여자대학교 도서관,37.650993,127.016839,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""덕성여자대학교 도서관"", ""name:en"": ""Deokseong Womans University Library"", ""name:ko"": ""덕성여자대학교 도서관"", ""name:ko-Latn"": ""Deokseongyeojadaehakgyo Doseogwan"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}",node,368655338
쌍문3동문고,37.6489104,127.0280041,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""쌍문3동문고"", ""name:en"": ""Ssangmun 3 Dong Library"", ""name:ko"": ""쌍문3동문고"", ""name:ko-Latn"": ""Ssangmun 3 Dongmungo""}",node,368652942
쌍문1동문고,37.6480059,127.0259799,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""쌍문1동문고"", ""name:en"": ""Ssangmun 1 Dong Library"", ""name:ja"": ""双門1洞文庫"", ""name:ko"": ""쌍문1동문고"", ""name:ko-Latn"": ""Ssangmun 1 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}",node,368654773
서울특별시립도봉도서관,37.652913,127.027717,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""서울특별시립도봉도서관"", ""name:en"": ""Seoul Dobong Library"", ""name:ja"": ""ソウル特別市 道峰図書館"", ""name:ko"": ""서울특별시립도봉도서관"", ""name:ko-Latn"": ""Seoulteukbyeolsiripdobongdoseogwan"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}",node,368655302
둘리도서관,37.6521582,127.0276611,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""둘리도서관"", ""name:en"": ""Dooly library"", ""name:ja"": ""ドゥーリー図書館""}",node,5906481385
쌍문역 작은 도서관,37.6474391,127.0342409,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""쌍문역 작은 도서관""}",node,10299522619
방학3동문고,37.659213,127.027873,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""방학3동문고"", ""name:en"": ""Banghak 3 Dong Library"", ""name:ko"": ""방학3동문고"", ""name:ko-Latn"": ""Banghak 3 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}",node,368654761
방학4동문고,37.659888,127.023421,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""방학4동문고"", ""name:en"": ""Banghak 4 Dong Library"", ""name:ko"": ""방학4동문고"", ""name:ko-Latn"": ""Banghak 4 Dongmungo""}",node,368654767
쌍문4동문고,37.655316,127.028491,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""쌍문4동문고"", ""name:en"": ""Ssangmun 4 Dong Library"", ""name:ja"": ""雙門4洞文庫"", ""name:ko"": ""쌍문4동문고"", ""name:ko-Latn"": ""Ssangmun 4 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}",node,368654795
창3동새마을문고,37.637273,127.042516,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""창3동새마을문고"", ""name:en"": ""Chang 3 Dongsae Village Library"", ""name:ko"": ""창3동새마을문고"", ""name:ko-Latn"": ""Chang 3 Dongsaemaeulmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}",node,368652991
창2동새마을문고,37.641379,127.035482,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""창2동새마을문고"", ""name:en"": ""Chang 2 Dongsae Village Library"", ""name:ko"": ""창2동새마을문고"", ""name:ko-Latn"": ""Chang 2 Dongsaemaeulmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}",node,368652983
창1동문고,37.648403,127.043767,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""창1동문고"", ""name:en"": ""Chang 1 Dong Library"", ""name:ko"": ""창1동문고"", ""name:ko-Latn"": ""Chang 1 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}",node,368654778
