name,address,lat,lon,top_category,sub_category,base_type,source,raw
창4동새마을문고,,37.652259,127.051481,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""창4동새마을문고"", ""name:en"": ""Chang 4 Dongsae Village Library"", ""name:ko"": ""창4동새마을문고"", ""name:ko-Latn"": ""Chang 4 Dongsaemaeulmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
쌍문3동문고,,37.6489104,127.0280041,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""쌍문3동문고"", ""name:en"": ""Ssangmun 3 Dong Library"", ""name:ko"": ""쌍문3동문고"", ""name:ko-Latn"": ""Ssangmun 3 Dongmungo""}"
창2동새마을문고,,37.641379,127.035482,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""창2동새마을문고"", ""name:en"": ""Chang 2 Dongsae Village Library"", ""name:ko"": ""창2동새마을문고"", ""name:ko-Latn"": ""Chang 2 Dongsaemaeulmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
창3동새마을문고,,37.637273,127.042516,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""창3동새마을문고"", ""name:en"": ""Chang 3 Dongsae Village Library"", ""name:ko"": ""창3동새마을문고"", ""name:ko-Latn"": ""Chang 3 Dongsaemaeulmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
도봉2동문고,,37.66971,127.046498,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""도봉2동문고"", ""name:en"": ""Dobong 2 Dong Library"", ""name:ko"": ""도봉2동문고"", ""name:ko-Latn"": ""Dobong 2 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
방학1동문고,,37.664246,127.040617,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""방학1동문고"", ""name:en"": ""Banghak 1 Dong Library"", ""name:ko"": ""방학1동문고"", ""name:ko-Latn"": ""Banghak 1 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
방학2동문고,,37.668283,127.034999,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""방학2동문고"", ""name:en"": ""Banghak 2 Dong Library"", ""name:ko"": ""방학2동문고"", ""name:ko-Latn"": ""Banghak 2 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
방학3동문고,,37.659213,127.027873,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""방학3동문고"", ""name:en"": ""Banghak 3 Dong Library"", ""name:ko"": ""방학3동문고"", ""name:ko-Latn"": ""Banghak 3 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
방학4동문고,,37.659888,127.023421,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""방학4동문고"", ""name:en"": ""Banghak 4 Dong Library"", ""name:ko"": ""방학4동문고"", ""name:ko-Latn"": ""Banghak 4 Dongmungo""}"
쌍문1동문고,,37.6480059,127.0259799,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""쌍문1동문고"", ""name:en"": ""Ssangmun 1 Dong Library"", ""name:ja"": ""双門1洞文庫"", ""name:ko"": ""쌍문1동문고"", ""name:ko-Latn"": ""Ssangmun 1 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
